,screen_name,tweet_url,timestamp,text
0,Kostian_V,https://twitter.com/Kostian_V/status/317013902091243521,27/3/2013 20:42,The New Silk Road (Orenburg) - YouTube  …
1,ChinaToursBlog,https://twitter.com/ChinaToursBlog/status/316494539424681984,26/3/2013 10:19,Berichterstattung der #New #Silk #Road nach #China im #WDR  
2,foxystories,https://twitter.com/foxystories/status/298963939415441408,6/2/2013 1:18,"Von Silk Road mit cheongsam: Um die Lunar New Year markieren, nimmt Sebastian Gunawan eine…  "
3,hdermi,https://twitter.com/hdermi/status/329249124132196352,30/4/2013 15:01,"Μπάμπης Δερμιτζάκης: Muhammad Bozorgnia, The maritime silk road  …"
4,GoChina1,https://twitter.com/GoChina1/status/340244012151738368,30/5/2013 23:11,New Silk Road Kashgar - 카슈가르  
5,Herchre,https://twitter.com/Herchre/status/337851571431944192,24/5/2013 8:44,Kitaro - Theme From Silk Road(New Age Instrumental)(HD Video)  … vía @youtube
6,antsket,https://twitter.com/antsket/status/336130440891101187,19/5/2013 14:45,"""The new silk road"" εγραφε στο Πεκινο,εκει που μιλκησε ο Σαμαρας.Ενδιαφερον"
7,chrygeorge,https://twitter.com/chrygeorge/status/336050609625112576,19/5/2013 9:28,"Ο  'New Silk Road' από την Κίνα στην Ελλάδα, άνοιξε   … via @capitalgr"
8,APP_117,https://twitter.com/APP_117/status/335862109948760064,18/5/2013 20:59,"Ο  'New Silk Road' από την Κίνα στην Ελλάδα, άνοιξε   … via @capitalgr"
9,capitalgr,https://twitter.com/capitalgr/status/335801694644486146,18/5/2013 16:58,"Ο  ”New Silk Road” από την Κίνα στην Ελλάδα, άνοιξε   …"
10,gourpan,https://twitter.com/gourpan/status/335799306353258496,18/5/2013 16:49,The New Silk Road? THE NEW SILK ROAD??? Έχουν χιούμορ τελικά...
11,tahsinates,https://twitter.com/tahsinates/status/297731005471670273,2/2/2013 15:39,Eski ve yeni yolcularıyla İpek Yolu /  Silk Road with the new and old passangers #Gaziantep  
12,iguideID,https://twitter.com/iguideID/status/297397756039942145,1/2/2013 17:35,"Belum, ada link nya? RT @hafiz_ibenk: kalo The Maritime Silk Road udah nonton blm?"
13,MyEbayStuff1,https://twitter.com/MyEbayStuff1/status/296377571044626432,29/1/2013 22:01,#YOYOMA SILK ROAD JOURNEY'S BEYOND THE HORIZON NEW! NEW SEALED! on @eBay!   #CD
